lat_wgs84,lon_wgs84,Name,Address,City,Rating,Service_Type,Place_ID
46.211698399999996,6.147354399999999,Fassiphone et électronique,"Rue de Zurich 24, 1201 Genève",Geneva,4.9,Phone & Electronics Repair,ChIJjUKkmB5ljEcRDyl8u3u_ELs
46.192427099999996,6.1421054,Electronika,"Rue Dancet 22d, 1205 Genève",Geneva,3.0,Electronics & Computer Repair,ChIJn0ZOVi17jEcRpQAhJBvvRD8
46.203424,6.157877,Keck Electronic S.A.,"Rue de la Mairie 3, 1207 Genève",Geneva,4.2,Electronics Repair & Sales,ChIJgbd3zTZljEcRfqZknnSKUQk
46.212365999999996,6.144801,Phonelab Store,"Rue de Lausanne 29, 1201 Genève",Geneva,5.0,Phone Repair,ChIJozjZvkhljEcRVJo712JZh1c
46.2024409,6.151379599999999,GSM Shop Tour-Maîtresse,"Rue de la Tour-Maîtresse 10, 1204 Genève",Geneva,4.3,Smartphone Repair,ChIJDZAJDyRljEcRTvUP6_Gih5k
46.20332450000001,6.148555099999999,Point Repare,"Rue Neuve-du-Molard 8, 1204 Genève",Geneva,4.1,iPhone Repair,ChIJFcN8vpdkjEcRlFAL75fwP7w
46.2063941,6.142385300000001,ART Computer Geneva,"Rue de Coutance 3, 1201 Genève",Geneva,4.7,Apple Repair & Electronics,ChIJ70bLEChljEcRZKibpFo6Buw
46.2077526,6.143364399999999,GSM MULTIMEDIA PRO,"Rue Paul-Bouchet 3, 1201 Genève",Geneva,4.8,Phone Repair,ChIJ359-2ydljEcRpe7s0dNZ_Hw
46.207042099999995,6.1435877,GSM Shop Rousseau,"Rue Rousseau 15, 1201 Genève",Geneva,4.5,Smartphone Repair,ChIJ4TMWtRhljEcRlIGOu55S5uo
46.5237261,6.628138,Hop Cash Repair,"Rue de l'Ale 38, 1003 Lausanne",Lausanne,4.8,Phone Repair,ChIJBXqIF9QvjEcRjyUKk6MzNZY
46.5185846,6.6310511,GSM Shop Lausanne,"Rue du Petit-Chêne 9b, 1003 Lausanne",Lausanne,4.7,Phone Repair,ChIJJzUW6zIujEcRMAlHWz19cGA
46.5209403,6.627290899999999,MySwisstech,"Rue des Côtes-de-Montbenon 5, 1003 Lausanne",Lausanne,4.8,Apple Authorized Service,ChIJDx4cwhAujEcR1mFJogYEFZQ
46.5157093,6.6307665,BestPriceSwiss,"Rue du Simplon 9, 1006 Lausanne",Lausanne,4.0,Phone Repair,ChIJX5gW_ecvjEcRQPIt2h0EcYc
46.520784899999995,6.6316166,ART Computer Lausanne,"Place des Pionnières 1, 1003 Lausanne",Lausanne,4.3,Apple Repair,ChIJpdo3QDIujEcRX6U6MWQpFSo
46.5422848,6.6221474,CRS RepairNstore,"Rte de Châtelard 10, 1018 Lausanne",Lausanne,4.8,Smartphone Repair,ChIJkwYBJDAxjEcR4VNZZxYt66w
46.5225255,6.627813499999999,Grüezi Phone Solutions,"Rue des Terreaux 25, 1003 Lausanne",Lausanne,4.7,Phone & Tablet Repair,ChIJi8gxhS4ujEcRRgM5BVYmFo8
46.5287687,6.6030085000000005,La Bonne Combine,"Rte de Renens 4, 1008 Prilly",Lausanne,4.0,Appliance Repair,ChIJga28A8YxjEcRHYo4lqV6veI
46.5178635,6.6338656,Dupertuis Electronics,"Rue de la Grotte 6, 1003 Lausanne",Lausanne,4.8,Electronics & DJ Equipment,ChIJx-PPQDMujEcRllf0oTmf67o
46.522233799999995,6.6320478,SmartFormatique,"Rue de la Louve 1, 1003 Lausanne",Lausanne,4.4,Computer Repair,ChIJOXAZNVUvjEcRPwXd1OvmTm8
46.4338445,6.9102508,SoluPhone,"Grand' Rue 42, 1820 Montreux",Montreux,4.7,Phone Repair,ChIJzWiZOxubjkcR0AJn_jSI_U4
46.4656459,6.8389289,SwissPhone Réparation,"Av. du Général-Guisan 36B, 1800 Vevey",Vevey,5.0,Phone Repair,ChIJxXSN4--djkcRx_DCiu3Sm7E
46.462925999999996,6.841183099999999,Grüezi Phone Solutions Vevey,"Av. du Général-Guisan 15, 1800 Vevey",Vevey,4.6,Phone & Tablet Repair,ChIJ9UdFutOcjkcRubz5oA3vqwY
46.461022199999995,6.8416223,reparation-mac-imac.ch,"Rue Jean-Jacques Rousseau 4, 1800 Vevey",Vevey,4.4,Mac Repair,ChIJ5ViC1NOcjkcRE0S3EHyuHOQ
46.458317,6.849697,Tech Center Multimedia,"Rue d'Italie 32, 1800 Vevey",Vevey,4.6,Computer Repair,ChIJdW0K1cicjkcReMTikXMumjY
