Enseigne,Nom,Adresse,Commune,NPA,Canton,lat_wgs84,lon_wgs84
Migros,Migros Gland,"Rue Mauverney 22, 1196 Gland",Gland,1196,VD,46.417107,6.276034
Migros,Migros Nyon La Combe,"Chem. de la Fontaine 1, 1260 Nyon",Nyon,1260,GE,46.388056,6.220833
Migros,Migros Nyon Morâche,"Rue de la Morâche 6, 1260 Nyon",Nyon,1260,GE,46.382579,6.234429
Migros,Migros Rolle,"Av. de la Gare 17, 1180 Rolle",Rolle,1180,VD,46.461121,6.338120
Migros,Migros Morges,"Rue de la Gare 19, 1110 Morges",Morges,1110,VD,46.509683,6.494820
Migros,Migros Lausanne Vallonnette,"Av. de la Vallonnette 2, 1012 Lausanne",Lausanne,1012,VD,46.527222,6.651667
Migros,Migros Lausanne Sévelin,"Av. de Sévelin 2, 1007 Lausanne",Lausanne,1007,VD,46.521601,6.616187
Migros,Migros Lausanne Métropole,"Rue des Terreaux 25, 1003 Lausanne",Lausanne,1003,VD,46.522490,6.627500
Migros,Migros Lausanne Flon Europe,"Pl. de l'Europe 8, 1003 Lausanne",Lausanne,1003,VD,46.520749,6.629819
Migros,Migros Lausanne Ouchy,"Av. de Rhodanie 2, 1007 Lausanne",Lausanne,1007,VD,46.507924,6.624862
Migros,Migros Lausanne Blécherette,"Chem. des Bossons 52, 1018 Lausanne",Lausanne,1018,VD,46.539586,6.618126
Migros,Migros Lausanne Sous-Gare,"Av. d'Ouchy 11, 1006 Lausanne",Lausanne,1006,VD,46.514727,6.632777
Migros,Migros Lausanne Borde,"Rue de la Borde 3B, 1018 Lausanne",Lausanne,1018,VD,46.527228,6.633071
Migros,Migros Lausanne Cour,"Av. de Cour 36, 1007 Lausanne",Lausanne,1007,VD,46.515557,6.617782
Migros,Migros Vevey Coindet,"Av. Gustave-Coindet 11, 1800 Vevey",Vevey,1800,VD,46.463643,6.840278
Migros,Migros Montreux,"Pl. du Marché 6, 1820 Montreux",Montreux,1820,VD,46.431363,6.910302
Migros,Migros Vevey Des 2 Gares,"Rue des Moulins 5b, 1800 Vevey",Vevey,1800,VD,46.464697,6.842102
Migros,Migros Clarens,"Rue du Léman 9, 1815 Montreux",Montreux,1815,VD,46.440413,6.893238
Lidl,Lidl Genève Lausanne,"Rue de Lausanne 45-47, 1201 Genève",Genève,1201,GE,46.213680,6.145350
Lidl,Lidl Genève Plainpalais,"Rue Prévost-Martin 61, 1205 Genève",Genève,1205,GE,46.191785,6.144842
Lidl,Lidl Genève Acacias,"Rte des Acacias 43, 1227 Genève",Genève,1227,GE,46.189450,6.131070
Lidl,Lidl Vernier Châtelaine,"Chemin Emilie-de-Morsier 10, 1219 Vernier",Vernier,1219,GE,46.208530,6.109790
Lidl,Lidl Châtelaine Étang,"Ave de l'Etang 55, 1219 Châtelaine",Châtelaine,1219,GE,46.216270,6.104450
Lidl,Lidl Lausanne,"Rue de Genève 33, 1003 Lausanne",Lausanne,1003,VD,46.522270,6.626018
Lidl,Lidl Petit-Lancy,"Rte de Chancy 71/77, 1213 Petit-Lancy",Petit-Lancy,1213,GE,46.186730,6.110550
Lidl,Lidl Vernier Mouille-Galand,"Chemin de Mouille-Galand 1, 1214 Vernier",Vernier,1214,GE,46.213790,6.078990
Lidl,Lidl Gland,"Av. du Mont-Blanc 35, 1196 Gland",Gland,1196,VD,46.414420,6.275320
Lidl,Lidl Renens,"Rue du Caudray 6, 1020 Renens",Renens,1020,VD,46.532360,6.587450
Aldi,Aldi Genève Servette,"Rue Antoine-Carteret 22, 1202 Genève",Genève,1202,GE,46.212514,6.133818
Aldi,Aldi Vernier Grand Bay,"Rue du Grand Bay 21, 1220 Vernier",Vernier,1220,GE,46.220140,6.109173
Aldi,Aldi Genève Charmilles,"Prom. de l'Europe 11, 1203 Genève",Genève,1203,GE,46.208600,6.123600
Aldi,Aldi Petit-Lancy,"Rte de Chancy 71, 1213 Petit-Lancy",Petit-Lancy,1213,GE,46.187100,6.111350
Aldi,Aldi Chêne-Bourg,"Rue Peillonnex 2, 1225 Chêne-Bourg",Chêne-Bourg,1225,GE,46.194287,6.196306
Aldi,Aldi Meyrin,"Chem. de Riantbosson 19, 1217 Meyrin",Meyrin,1217,GE,46.227310,6.085838
Aldi,Aldi Vevey,"Av. du Général-Guisan 32, 1800 Vevey",Vevey,1800,VD,46.465115,6.839149
Aldi,Aldi Morges,"Rue de Lausanne 47, 1110 Morges",Morges,1110,VD,46.516306,6.505788
Aldi,Aldi Noville,"Les Malliez 1, 1845 Noville",Noville,1845,VD,46.384986,6.920137
Denner,Denner Genève Montbrillant,"Rue de Montbrillant 67, 1202 Genève",Genève,1202,GE,46.220320,6.140327
Denner,Denner Genève Pâquis,"Rue Abraham-Gevray 5-7, 1201 Genève",Genève,1201,GE,46.211341,6.149684
Denner,Denner Genève Cygnes,"Rue de Monthoux 57, 1201 Genève",Genève,1201,GE,46.210720,6.144330
Denner,Denner Genève Carl-Vogt,"Bd Carl-Vogt 12, 1205 Genève",Genève,1205,GE,46.200596,6.130955
Denner,Denner Genève Eaux-Vives,"Rue des Marronniers 5, 1207 Genève",Genève,1207,GE,46.201113,6.158685
Denner,Denner Genève Vermont,"Rue de Vermont 2, 1202 Genève",Genève,1202,GE,46.215046,6.134242
Denner,Denner Express Servette,"Rue de la Servette 59, 1202 Genève",Genève,1202,GE,46.211529,6.133704
Denner,Denner Petit-Lancy,"Chem. du Fief-de-Chapitre, 1213 Petit-Lancy",Petit-Lancy,1213,GE,46.196090,6.124970
Denner,Denner Genève Lac,"Rue du Lac 10, 1207 Genève",Genève,1207,GE,46.204280,6.157235
Denner,Denner Genève Plainpalais,"Rue Prévost-Martin 36, 1205 Genève",Genève,1205,GE,46.192768,6.144746
Denner,Denner Lausanne Métropole,"Rue des Terreaux 25, 1000 Lausanne",Lausanne,1000,VD,46.522466,6.627299
Denner,Denner Lausanne Cour,"Av. de Cour 143, 1007 Lausanne",Lausanne,1007,VD,46.518096,6.608561
Denner,Denner Lausanne Grancy,"Bd de Grancy 37, 1006 Lausanne",Lausanne,1006,VD,46.515835,6.626460
Denner,Denner Express Lausanne Ouchy,"Av. d'Ouchy 11, 1006 Lausanne",Lausanne,1006,VD,46.514955,6.632769
Denner,Denner Lausanne Echallens,"Av. d`Echallens 68, 1004 Lausanne",Lausanne,1004,VD,46.527745,6.617096
Denner,Denner Express Boveresses,"Av. des Boveresses 33, 1010 Lausanne",Lausanne,1010,VD,46.538350,6.666407
Denner,Denner Express Colline,"Chem. de la Colline 4, 1007 Lausanne",Lausanne,1007,VD,46.521526,6.612986
Denner,Denner Express Béthusy,"Av. de Béthusy 93, 1012 Lausanne",Lausanne,1012,VD,46.526980,6.651212
Denner,Denner Lausanne Grey,"Av. du Grey 58, 1018 Lausanne",Lausanne,1018,VD,46.536186,6.620065
Denner,Denner Lausanne Borde,"Rue de la Borde 3, 1018 Lausanne",Lausanne,1018,VD,46.527440,6.632932
Denner,Denner Vevey Moulins,"Rue des Moulins 1, 1800 Vevey",Vevey,1800,VD,46.464569,6.841770
Denner,Denner Corsier-sur-Vevey,"Av. Reller 42, 1804 Corsier-sur-Vevey",Corsier-sur-Vevey,1804,VD,46.467891,6.837752
Denner,Denner Vevey Italie,"Rue d'Italie 56, 1800 Vevey",Vevey,1800,VD,46.458627,6.848275
Denner,Denner Nyon,"Rte de Signy 43, 1260 Nyon",Nyon,1260,GE,46.389754,6.222228
Denner,Denner Gland,"Rte Suisse 35, 1196 Gland",Gland,1196,VD,46.416100,6.279657
Denner,Denner Montreux Centre,"Pl. du Marché 6b, 1820 Montreux",Montreux,1820,VD,46.431369,6.910411
Denner,Denner La Tour-de-Peilz,"Av. des Alpes 61, 1814 La Tour-de-Peilz",La Tour-de-Peilz,1814,VD,46.457832,6.856749
Denner,Denner Express Morges,"Av. de Lonay 17, 1110 Morges",Morges,1110,VD,46.520069,6.508166
Denner,Denner Express Montreux Fin du Craux,"Rte de la Fin du Craux 20, 1822 Montreux",Montreux,1822,VD,46.444352,6.911386
Denner,Denner Clarens,"Rue du Léman 9, 1815 Clarens",Clarens,1815,VD,46.440903,6.893219
